latitude,longitude,tanggal,kelurahan,kecamatan,wilayah
-6.276649,106.799657,19 Desember 2017,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan
-6.129996,106.905595,19 Desember 2017,Tugu Utara,Koja, Kota Administrasi Jakarta Utara
-6.347456,106.899141,19 Desember 2017,Munjul,Cipayung, Kota Administrasi Jakarta Timur
-6.190086,106.812904,19 Desember 2017,Bendungan Hilir ,Tanah Abang, Kota Administrasi Jakarta Pusat
-6.135498,106.697442,20 Desember 2017,Pegadungan,Kalideres, Kota Administrasi Jakarta Barat
-6.315644,106.834313,20 Desember 2017,Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.268833,106.843038,20 Desember 2017,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.286054,106.824305,21 Desember 2017,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.180963,106.848988,21 Desember 2017,Tanah Tinggi,Johar Baru, Kota Administrasi Jakarta Pusat
-6.144723,106.706744,22 Desember 2017,Pegadungan,Kalideres, Kota Administrasi Jakarta Barat
-6.156128,106.856188,23 Desember 2017,Kebon Kosong ,Kemayoran, Kota Administrasi Jakarta Pusat
-6.330877,106.851659,24 Desember 2017,Kalisari,Pasar Rebo, Kota Administrasi Jakarta Timur
-6.206802,106.887879,24 Desember 2017,Cipinang,Pulogadung, Kota Administrasi Jakarta Timur
-6.279356,106.796391,25 Desember 2017,Gandaria Selatan,Cilandak, Kota Administrasi Jakarta Selatan
-6.194587,106.843828,24 Desember 2017,Kenari ,Senen, Kota Administrasi Jakarta Pusat
-6.165963,106.744317,25 Desember 2017,Rawa Buaya,Cengkareng, Kota Administrasi Jakarta Barat
-6.196264,106.897733,26 Desember 2017,Jati,Pulogadung, Kota Administrasi Jakarta Timur
-6.136361,106.760562,26 Desember 2017,Kapuk Muara,Penjaringan, Kota Administrasi Jakarta Utara
-6.179974,106.713213,26 Desember 2017,Duri kosambi,Cengkareng, Kota Administrasi Jakarta Barat
-6.097814,106.961929,26 Desember 2017,Marunda,Cilincing, Kota Administrasi Jakarta Utara
-6.170957,106.887212,26 Desember 2017,Kayu Putih,Pulogadung, Kota Administrasi Jakarta Timur
-6.262846,106.836877,26 Desember 2017,Kalibata,Pancoran, Kota Administrasi Jakarta Selatan
-6.16823,106.727671,27 Desember 2017,Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat
-6.123927,106.927618,28 Desember 2017,Semper Timur,Cilincing, Kota Administrasi Jakarta Utara
-6.09789,106.716471,28 Desember 2017,Kamal Muara,Penjaringan, Kota Administrasi Jakarta Utara
-6.187886,106.733169,28 Desember 2017,Kembangan Selatan,Kembangan, Kota Administrasi Jakarta Barat
-6.17447,106.936297,28 Desember 2017,Cakung Barat,Cakung, Kota Administrasi Jakarta Timur
-6.300765,106.895719,28 Desember 2017,Ceger,Cipayung, Kota Administrasi Jakarta Timur
-6.217625,106.882047,29 Desember 2017,Jatinegara,Cakung, Kota Administrasi Jakarta Timur
-6.120544,106.926223,28 Desember 2017,Semper Timur,Cilincing, Kota Administrasi Jakarta Utara
-6.129601,106.931459,28 Desember 2017,Semper Timur,Cilincing, Kota Administrasi Jakarta Utara
-6.182539,106.816422,28 Desember 2017,Kampung Bali ,Tanah Abang, Kota Administrasi Jakarta Pusat
-6.182951,106.739754,29 Desember 2017,Kembangan Selatan,Kembangan, Kota Administrasi Jakarta Barat
-6.348053,106.913649,29 Desember 2017,Pondok Rangon,Cipayung, Kota Administrasi Jakarta Timur
-6.206384,106.917083,29 Desember 2017,Jatinegara,Cakung, Kota Administrasi Jakarta Timur
-6.285918,106.795557,29 Desember 2017,Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan
-6.132314,106.74818,29 Desember 2017,Kamal Muara,Penjaringan, Kota Administrasi Jakarta Utara
-6.209558,106.738046,29 Desember 2017,Meruya Selatan,Kembangan, Kota Administrasi Jakarta Barat
-6.354054,106.810923,29 Desember 2017,Cipedak,Jagakarsa, Kota Administrasi Jakarta Selatan
-6.19602,106.860526,30 Desember 2017,Pulogadung,Pulogadung, Kota Administrasi Jakarta Timur
-6.293328,106.872849,30 Desember 2017,Rambutan,Ciracas, Kota Administrasi Jakarta Timur
-6.281045,106.791848,30 Desember 2017,Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan
-6.216469,106.883539,31 Desember 2017,Cipinang Besar Utara,Jatinegara, Kota Administrasi Jakarta Timur
-6.159929,106.799901,30 Desember 2017,Kalianyar,Tambora, Kota Administrasi Jakarta Barat
-6.158203,106.804868,31 Desember 2017,Duri Utara,Tambora, Kota Administrasi Jakarta Barat
-6.140752,106.806393,31 Desember 2017,Pekojan,Tambora, Kota Administrasi Jakarta Barat
-6.200452,106.786277,31 Desember 2017,Palmerah,Palmerah, Kota Administrasi Jakarta Barat
-6.182787,106.782475,31 Desember 2017,Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat
-6.187011,106.77374,31 Desember 2017,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat
-6.276288,106.810156,31 Desember 2017,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan
-6.297052,106.892447,31 Desember 2017,Ceger,Cipayung, Kota Administrasi Jakarta Timur
-6.214551,106.929875,31 Desember 2017,Penggilingan,Cakung, Kota Administrasi Jakarta Timur
-6.268941,106.840688,31 Desember 2017,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.188524,106.813611,31 Desember 2017,Kampung Bali ,Tanah Abang, Kota Administrasi Jakarta Pusat
